row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
1161,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.466; quarter=3.000; relative_change=0.720,"Review component mix, period changes, and supporting source records.",0.6909545057605645,Bhutan,SOUTH ASIA,Commitments,2025-Q3,86.0
144,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,year_over_year_change=181.000; log1p_total=5.198; quarter=3.000,"Review component mix, period changes, and supporting source records.",0.690335898132429,"Congo, Republic of",WESTERN AND CENTRAL AFRICA,Commitments,2026-Q3,180.0
3226,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=12.000; year_over_year_change=12.000; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.6881850913864996,Sao Tome and Principe,AFRICA,Gross Disbursements,FY19,13.0
1157,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.234; quarter=3.000; disbursement_commitment_ratio=1.191,"Review component mix, period changes, and supporting source records.",0.6837579589745421,IFC,OTHER,Commitments,2025-Q3,68.0
3163,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,disbursement_commitment_ratio=44.519; log1p_total=7.093; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.6834750095853027,Nigeria,AFRICA,Gross Disbursements,FY19,1202.0
1195,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=5.919; disbursement_commitment_ratio=5.377; year_over_year_change=5.288,"Review component mix, period changes, and supporting source records.",0.6802359626175583,Eastern and Southern Africa,EASTERN AND SOUTHERN AFRICA,Gross Disbursements,2026-Q3,371.0
866,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=17.000; year_over_year_change=17.000; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.6793981015040514,Solomon Islands,EAST ASIA AND PACIFIC,Commitments,FY17,36.0
1814,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.927; quarter=4.000; relative_change=1.585,"Review component mix, period changes, and supporting source records.",0.6791137143331456,IFC,OTHER,Gross Disbursements,FY24,137.0
784,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=7.294; year_over_year_change=7.294; log1p_total=4.956,"Review component mix, period changes, and supporting source records.",0.6746668979281528,Mongolia,EAST ASIA AND PACIFIC,Gross Disbursements,FY18,141.0
3275,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=8.047; quarter=4.000; relative_change=2.457,"Review component mix, period changes, and supporting source records.",0.6734141300132491,Ethiopia,AFRICA,Commitments,FY18,3122.0
